branch_id,category,total_revenue,transaction_count,avg_transaction_value,transaction_std,avg_qty_per_transaction,total_qty_sold,qty_std,latitude,longitude,district,peak_month,quarter,peak_day_of_week,first_sale_date,last_sale_date,active_days,monthly_revenue,operational_span,revenue_per_day,transactions_per_day,revenue_per_transaction,transaction_consistency,operational_intensity,avg_items_per_transaction,total_items_sold,competitor_count,nearby_avg_revenue,nearby_avg_transaction_value,market_density,district_avg_revenue,district_median_revenue,district_branch_count,district_revenue_std,district_avg_transaction_value,district_avg_transactions,district_avg_competition,category_avg_revenue,category_median_revenue,category_median_transaction_value,category_median_transactions,revenue_vs_district,revenue_vs_category,transaction_value_vs_category,district_encoded,category_encoded
177,Alcoholic Beverages,110161916.18,492,223906.333699187,218973.5106042813,7.313008130081301,3598.0,7.282179340204913,-6.21465276,106.82091144,Setia Budi,1,1,1,2024-01-02,2024-03-30,72,37259208.09465778,89,1237774.3391011236,5.52808988764045,223906.333699187,1.0225223615355772,0.8089887640449438,7.313008130081301,3598.0,11,50950749.65727315,172426.61878127404,11,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,76553585.58644307,15058351.158495557,126138.26979263705,4.240763052208836,3.622853446682562,2.4743219030084207,1.775086451298834,7,0
177,Breakfast and Egg Dishes,64676955.78,466,138791.75060085836,134968.52274479863,7.24892703862661,3378.0,6.166005392650264,-6.21465276,106.82091144,Setia Budi,1,1,1,2024-01-02,2024-03-30,74,21875183.71048,89,726707.3683146067,5.235955056179775,138791.75060085836,1.0283191922022783,0.8314606741573034,7.24892703862661,3378.0,9,3411090.83290884,37504.037749333176,9,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,26965883.66805188,4048520.0,82614.01869158879,2.043956043956044,2.127006685192798,5.40325445112782,1.680002411200815,7,2
177,Comfort Food,137573292.8,816,168594.72156862746,275207.9246920123,9.727941176470589,7938.0,17.408185189279937,-6.21465276,106.82091144,Setia Budi,3,1,1,2024-01-02,2024-03-30,76,46530344.80924445,89,1545767.3348314608,9.168539325842696,168594.72156862746,0.6126063017662042,0.8539325842696629,9.727941176470589,7938.0,13,36618287.119639985,113048.20698171275,13,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,108348687.81440125,27556800.99111111,121867.8947368421,6.857142857142857,4.524321065526597,1.6885249062201944,1.38342195811855,7,6
177,Fried Food,7758142.88,98,79164.72326530612,131787.09769813615,3.0,294.0,6.98156630286049,-6.21465276,106.82091144,Setia Budi,2,1,3,2024-01-02,2024-03-28,43,2623976.3251911113,87,89174.05609195401,1.1264367816091954,79164.72326530612,0.6006970633010794,0.4942528735632184,3.0,294.0,7,5778090.082918691,59774.51521026127,7,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,22101610.995968,4154450.3544444446,66758.08333333334,3.3601371951219514,0.25513912291375485,0.6316061335006622,1.1858447593533283,7,7
177,Indonesian Traditional Food,34714336.62,214,162216.52626168224,141701.8084695087,4.4392523364485985,950.0,4.143386766700484,-6.21465276,106.82091144,Setia Budi,1,1,4,2024-01-02,2024-03-28,64,11741160.074586665,87,399015.36344827584,2.4597701149425286,162216.52626168224,1.1447657813824321,0.735632183908046,4.4392523364485985,950.0,4,13720230.078333333,279284.35554763494,4,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,80450545.3610866,8083524.640000001,91176.78358208956,3.5274725274725274,1.1416373138206033,1.4524802728363633,1.7791428902033288,7,8
177,Seafood,19986917.54,180,111038.43077777777,74319.9407856521,2.8666666666666667,516.0,1.9559392434383915,-6.21465276,106.82091144,Setia Budi,1,1,3,2024-01-02,2024-03-28,57,6760019.665751111,87,229734.68436781608,2.0689655172413794,111038.43077777777,1.4940396287235118,0.6551724137931034,2.8666666666666667,516.0,10,16487405.450673744,108188.9525421736,10,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,79364599.83326681,8095639.421777777,109329.96144578313,3.541208791208791,0.6573022293841979,0.8350198561914991,1.0156267258252156,7,11
177,Set Meals and Combos,30621690.0,152,201458.48684210525,185345.2740345905,3.973684210526316,604.0,3.8376789488160847,-6.21465276,106.82091144,Setia Budi,3,1,1,2024-02-27,2024-03-28,23,10356936.040000001,31,987796.4516129033,4.903225806451613,201458.48684210525,1.0869303302234594,0.7419354838709677,3.973684210526316,604.0,11,51602317.668391414,349150.9832606375,11,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,82122176.60835758,16854251.06724669,259952.8268528073,3.9340659340659343,1.007043985858752,0.6144999263792211,0.7749809428161241,7,12
177,Snacks and Appetizers,21733293.6,334,65069.741317365275,45393.24327897594,4.946107784431137,1652.0,3.763675739942896,-6.21465276,106.82091144,Setia Budi,1,1,1,2024-01-02,2024-03-28,68,7350682.857600001,87,249807.97241379312,3.839080459770115,65069.741317365275,1.4334359737526876,0.7816091954022989,4.946107784431137,1652.0,11,6041019.493933349,122924.97074561943,11,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,23487306.344671123,2533081.5111111114,53067.50035185185,1.7362637362637363,0.7147346411247226,2.9018737949635485,1.2261693293623277,7,13
177,Steaks and BBQ,36471502.44,204,178781.87470588234,147868.5730617046,5.872549019607843,1198.0,5.536571770331223,-6.21465276,106.82091144,Setia Budi,1,1,1,2024-01-02,2024-03-28,66,12335472.60304,87,419212.6717241379,2.3448275862068964,178781.87470588234,1.2090511320491764,0.7586206896551724,5.872549019607843,1198.0,11,22760071.953796726,142000.27895942848,11,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,229245833.1421821,15439031.8467504,115982.95796503068,5.112359550561798,1.199424564334457,0.7989796721376907,1.541449518469651,7,14
177,Tea and Beverages,66047933.0,952,69378.08088235294,57310.59413865747,5.796218487394958,5518.0,5.486477630431631,-6.21465276,106.82091144,Setia Budi,1,1,2,2024-01-02,2024-03-28,70,22338878.672444444,87,759171.643678161,10.942528735632184,69378.08088235294,1.2105418096467928,0.8045977011494253,5.796218487394958,5518.0,20,61336065.5633405,146484.18301870915,20,46764810.069753,10284492.222222222,287,116447754.96769883,176361.57874761123,7.558555293165985,14.257839721254355,266960212.37279442,54671827.562585205,103241.59410211032,21.01098901098901,2.172093496670229,0.4085994499977555,0.6719973813435607,7,15
